,variable_model,variable_dict,nombres_cambiados,mantener,descripcion,tipo,dtype,%_faltantes,unicos,ejemplos
0,﻿Llave2,,,,,,object,0.0,71827,"100046415_202110_13110, 100094861_202131_13118, 100090085_202141_13292, 100082960_202131_13165, 100083999_202110_13175"
1,Nombre_linea,Nombre_linea,0.0,Si,Categorías de los creditos  otorgados a lo largo de los años con variables y beneficios distintos. Posterior al filtro identificamos solo las línes del crédito interno,object,object,0.0,10,"ESTUDIA YA-TECH GLOBAL, ESTUDIA YA-TECH GLOBAL LINEA B, ESTUDIA YA-TECH GLOBAL NUEVA M, ESTUDIA YA-TECH GLOBAL PROMO N, ESTUDIA YA-TECH GLOBAL 1.8"
2,Fecha_aprobacion,Fecha_aprobacion,0.0,Si,"Fecha en la que se le realizo la aprobación del crédito al estudiante, esta fecha también la encontramos en la base de edades como ""Fecha"" pero algunas difieren por lo que nos quedamos con la fecha de aprobación de la base central de creditos ",datetime64,object,0.0,334,"12/02/2021, 15/02/2021, 5/02/2021, 25/02/2021, 15/03/2021"
3,Antiguedad_meses,Antiguedad_meses,1.0,Nueva,Se crea la columna de antiguedad para conocer la antiguedad del crédito ,int64,int64,0.0,58,"56, 55, 54, 53, 52"
4,Nombre_fondo,Nombre_fondo,0.0,Si,Hace referencia con que convenio ingreso el estudiante,object,object,0.0,128,"BOGOTA, CONVENIO SENA NACIONAL, CONVENIO INESUR, CONVENIO CONSTRUYENDO FUTURO -, CONVENIO FUNDACIÓN YANAPAX"
5,Valor_financiacion,Valor_financiacion,0.0,Si,"Valor por el cual se le aprobo el crédito nunca es superior al 85% del la totalidad de la matrícula  ""Vr_neto_matricula"" ",int64,int64,0.0,10536,"1895042, 1312400, 2589525, 1307300, 2186720"
6,Cuotas,Cuotas,0.0,Si,"Número de cuotas a las que se financió el crédito, el máximo de cuotas para el crédito interno son 12",int64 ,int64,0.0,7,"12, 4, 6, 5, 11"
7,Tipo_interes,Tipo_interes,0.0,Si,Son las categorias de como se va a realizar el cobro interes ,object,object,0.0,2,"Cap. Fijo-Int. vencido, Anualidad Vencida"
8,Vr_neto_matricula,Vr_neto_matricula,0.0,Temporal,"El valor total de la matrícula, pero debido a que tiene vacios la sacamos del MAFI",,float64,0.0,9825,"2190800.0, 1544000.0, 3385000.0, 1538000.0, 2528000.0"
9,Y_categorica,Y_categorica,1.0,Y FINAL,"Y = (Cuotas_vencidas / (Cuotas - Cuotas_por_vencer)) y se pondera el tipo de riesgo donde de 0 - 20% es riesgo bajo, de 21- 25% es riesgo medio y de 26-100% es riesgo alto",,object,0.0,3,"Bajo, Alto, Medio"
